CÓDIGO OACI;CIAD;NOME;MUNICÍPIO;UF;MUNICÍPIO SERVIDO;UF SERVIDO;LatGeoPoint;LonGeoPoint;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO DIURNA;OPERAÇÃO NOTURNA;DESIGNAÇÃO 1;COMPRIMENTO 1;LARGURA 1;RESISTÊNCIA 1;SUPERFÍCIE 1;DESIGNAÇÃO 2;COMPRIMENTO2;LARGURA 2;RESISTÊNCIA 2;SUPERFÍCIE 2;SITUAÇÃO;ValidadedoRegistro;PortariadeRegistro;Link Portaria
SNKI;ES0006;Aeródromo de Cachoeiro do Itapemirim;CACHOEIRO DE ITAPEMIRIM;Espírito Santo;Cachoeiro de Itapemirim;Espírito Santo;-20.835278;-41.186389;"20°50'07.0S""";"041°11'11.0W""";78;VFR;VFR;jun/24;12,000,000;30,00;14/F/C/Y/T;Asfalto;;;;;;Cadastrado;19/06/2025;PA2015-1473;https://pergamum.anac.gov.br/arquivos/PA2015-1473.pdf
SBDB;MS0004;Aeródromo Público de Bonito;BONITO;Mato Grosso do Sul;Bonito;Mato Grosso do Sul;-21.247222;-56.4525;"21°14'50.0S""";"056°27'09.0W""";334;VFR;VFR;18/36;20,000,000;30,00;48/F/A/X/T;Asfalto;;;;;;Cadastrado;13/05/2025;PA2015-1122;https://pergamum.anac.gov.br/arquivos/PA2015-1122.pdf
SBPP;MS0005;Ponta Porã - Internacional;PONTA PORÃ;Mato Grosso do Sul;Ponta Porã;Mato Grosso do Sul;-22.549722;-55.703056;"22°32'59.0S""";"055°42'11.0W""";657;;;abr/22;20,000,000;45,00;40/F/C/Y/T;Asfalto;;;;;;Cadastrado;10/05/2023;PA2013-1185;https://pergamum.anac.gov.br/arquivos/PA2013-1185.pdf
SNTS;PB0005;Patos;PATOS;Paraíba;Patos;Paraíba;-7.0377778;-37.2575;"07°02'16.0S""";"037°15'27.0W""";265;;;dez/30;16,000,000;30,00;6/F/C/Y/U;Asfalto;;;;;;Cadastrado;23/04/2031;PA2021-4760;https://pergamum.anac.gov.br/arquivos/PA2021-4760.pdf
SBCX;RS0007;Hugo Cantergiani;CAXIAS DO SUL;Rio Grande do Sul;Caxias do Sul;Rio Grande do Sul;-29.195556;-51.189722;"29°11'44.0S""";"051°11'23.0W""";754;VFR / IFR Não Precisão;VFR / IFR Não Precisão;15/33;16,700,000;30,00;45/F/A/X/T;Asfalto;;;;;;Cadastrado;07/11/2027;PA2017-3509;https://pergamum.anac.gov.br/arquivos/PA2017-3509.pdf
SBBG;RS0010;Comandante Gustavo Kraemer;BAGÉ;Rio Grande do Sul;Bagé;Rio Grande do Sul;-31.390833;-54.109722;"31°23'27.0S""";"054°06'35.0W""";186;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jun/24;15,000,000;30,00;18/R/A/Y/T;Concreto;;;;;;Cadastrado;13/08/2028;PA2018-2459;https://pergamum.anac.gov.br/arquivos/PA2018-2459.pdf
SSCN;RS0019;Canela;CANELA;Rio Grande do Sul;Canela;Rio Grande do Sul;-29.370556;-50.832222;"29°22'14.0S""";"050°49'56.0W""";837;VFR;VFR;jun/24;12,600,000;18,00;21/F/B/Y/T;Asfalto;;;;;;Cadastrado;09/09/2029;PA2019-2752;https://pergamum.anac.gov.br/arquivos/PA2019-2752.pdf
SSIM;SC0009;Forquilhinha-Criciúma;FORQUILHINHA;Santa Catarina;Forquilhinha;Santa Catarina;-28.724444;-49.421111;"28°43'28.0S""";"049°25'16.0W""";28;VFR / IFR Não Precisão;VFR / IFR Não Precisão;set/27;14,880,000;30,00;22/F/C/X/U;Asfalto;;;;;;Cadastrado;20/05/2029;PA2019-1479;https://pergamum.anac.gov.br/arquivos/PA2019-1479.pdf
SDDN;SP0020;Paulino Ribeiro de Andrade;ANDRADINA;São Paulo;Andradina;São Paulo;-20.8925;-51.383889;"20°53'33.0S""";"051°23'02.0W""";380;VFR;VFR;nov/29;15,000,000;30,00;12/F/B/Y/T;Asfalto;;;;;;Cadastrado;23/11/2025;PA2015-3120;https://pergamum.anac.gov.br/arquivos/PA2015-3120.pdf
SDPW;SP0041;Pedro Morganti;PIRACICABA;São Paulo;Piracicaba;São Paulo;-22.710556;-47.619444;"22°42'38.0S""";"047°37'10.0W""";584;VFR;VFR;17/35;12,000,000;30,00;21/F/A/X/T;Asfalto;;;;;;Cadastrado;02/08/2028;PA2018-2356;https://pergamum.anac.gov.br/arquivos/PA2018-2356.pdf
SSKU;SC0016;Lauro Antônio da Costa;CURITIBANOS;Santa Catarina;Curitibanos;Santa Catarina;-27.287222;-50.603889;"27°17'14.0S""";"050°36'14.0W""";978;VFR;VFR;nov/29;14,000,000;30,00;22/F/A/Y/T;Asfalto;;;;;;Cadastrado;20/05/2030;PA2020-1296;https://pergamum.anac.gov.br/arquivos/PA2020-1296.pdf
SSAP;PR0014;Capitão João Busse;APUCARANA;Paraná;Apucarana;Paraná;-23.612222;-51.385;"23°36'44.0S""";"051°23'06.0W""";800;VFR;VFR;out/28;14,000,000;30,00;9/F/C/Y/U;Asfalto;;;;;;Cadastrado;07/05/2030;PA2020-1193;https://pergamum.anac.gov.br/arquivos/PA2020-1193.pdf
SBPA;RS0001;Salgado Filho;PORTO ALEGRE;Rio Grande do Sul;Porto Alegre;Rio Grande do Sul;-29.994722;-51.171111;"29°59'41.0S""";"051°10'16.0W""";4;VFR / IFR - CAT II;VFR / IFR - CAT II;nov/29;22,800,000;45,00;74/F/A/X/T;Asfalto;;;;;;Cadastrado;23/06/2024;PA2014-1446;https://pergamum.anac.gov.br/arquivos/PA2014-1446.pdf
SBNM;RS0008;Santo Ângelo;SANTO ÂNGELO;Rio Grande do Sul;Santo Ângelo;Rio Grande do Sul;-28.281667;-54.168333;"28°16'54.0S""";"054°10'06.0W""";322;VFR / IFR Não Precisão;VFR / IFR Não Precisão;dez/30;16,250,000;30,00;35/F/A/X/T;Asfalto;;;;;;Cadastrado;20/02/2027;PA2019-3072;https://pergamum.anac.gov.br/arquivos/PA2019-3072.pdf
SNAL;AL0003;Arapiraca;ARAPIRACA;Alagoas;Arapiraca;Alagoas;-9.7763889;-36.630556;"09°46'35.0S""";"036°37'50.0W""";270;VFR;VFR;out/28;9,300,000;18,00;13/F/B/Y/T;Asfalto;;;;;;Cadastrado;23/04/2030;PA2020-1073;https://pergamum.anac.gov.br/arquivos/PA2020-1073.pdf
SWPZ;GO0010;Ouriçanga de Abreu;POSSE;Goiás;Posse;Goiás;-14.118056;-46.345278;"14°07'05.0S""";"046°20'43.0W""";841;VFR;VFR;out/28;15,000,000;25,00;18/F/B/Y/T;Asfalto;;;;;;Cadastrado;12/08/2030;PA2020-1994;https://pergamum.anac.gov.br/arquivos/PA2020-1994.pdf
SBSV;BA0001;Deputado Luis Eduardo Magalhães-Intl;SALVADOR;Bahia;Salvador;Bahia;-12.908611;-38.3225;"12°54'31.0S""";"038°19'21.0W""";20;VFR / IFR - CAT I;;out/28;30,030,000;45,00;104/F/B/X/T;Asfalto;out/28;30,030,000;45,00;73/F/A/W/T;Asfalto;Cadastrado;04/06/2024;PA2014-1258;https://pergamum.anac.gov.br/arquivos/PA2014-1258.pdf
SBJH;SP1176;São Paulo Catarina Aeroporto Executivo;SÃO ROQUE;São Paulo;São Roque;São Paulo;-23.426944;-47.165833;"23°25'37.0S""";"047°09'57.0W""";777;VFR / IFR Não Precisão;VFR / IFR Não Precisão;dez/30;24,700,000;33,00;30/F/B/X/T;Asfalto;;;;;;Cadastrado;02/12/2029;PA2019-3689;https://pergamum.anac.gov.br/arquivos/PA2019-3689.pdf
SBSO;MT0005;Regional de Sorriso Adolino Bedin;SORRISO;Mato Grosso;Sorriso;Mato Grosso;-12.472778;-55.668889;"12°28'22.0S""";"055°40'08.0W""";386;VFR / IFR Não Precisão;VFR / IFR Não Precisão;mai/23;17,000,000;30,00;26/F/A/Y/T;Asfalto;;;;;;Cadastrado;05/08/2025;PA2016-0745;https://pergamum.anac.gov.br/arquivos/PA2016-0745.pdf
SBGR;SP0002;Guarulhos - Governador André Franco Montoro;GUARULHOS;São Paulo;Guarulhos;São Paulo;-23.435556;-46.473056;"23°26'08.0S""";"046°28'23.0W""";750;VFR / IFR - CAT III A;VFR / IFR - CAT III A;09L/27R;37,000,000;45,00;77/F/B/W/T;Asfalto;09R/27L;30,000,000;45,00;77/F/B/W/T;Asfalto;Cadastrado;;;
SNBR;BA0011;Barreiras;BARREIRAS;Bahia;Barreiras;Bahia;-12.079167;-45.009444;"12°04'45.0S""";"045°00'34.0W""";748;VFR;VFR;ago/26;16,000,000;30,00;35/F/A/X/T;Asfalto;;;;;;Cadastrado;17/09/2024;PA2014-2208;https://pergamum.anac.gov.br/arquivos/PA2014-2208.pdf
SNTF;BA0016;Teixeira de Freitas;TEIXEIRA DE FREITAS;Bahia;Teixeira de Freitas;Bahia;-17.524444;-39.668333;"17°31'28.0S""";"039°40'06.0W""";105;VFR;VFR;nov/29;14,600,000;30,00;31/F/A/X/T;Asfalto;;;;;;Cadastrado;12/08/2024;PA2014-1877;https://pergamum.anac.gov.br/arquivos/PA2014-1877.pdf
SBAC;CE0004;Aeroporto Regional de Acarati;ARACATI;Ceará;Aracati;Ceará;-4.5686111;-37.804722;"04°34'07.0S""";"037°48'17.0W""";36;VFR / IFR Não Precisão;VFR / IFR Não Precisão;set/27;18,000,000;30,00;36/F/A/X/U;Asfalto;;;;;;Cadastrado;23/06/2024;PA2018-1227;https://pergamum.anac.gov.br/arquivos/PA2018-1227.pdf
SBVT;ES0001;Eurico de Aguiar Salles;VITÓRIA;Espírito Santo;Vitória;Espírito Santo;-20.258056;-40.286389;"20°15'29.0S""";"040°17'11.0W""";3;VFR / IFR - CAT I;VFR / IFR - CAT I;fev/20;20,580,000;45,00;86/F/B/X/T;Asfalto;jun/24;17,500,000;45,00;45/F/B/X/T;Asfalto;Cadastrado;;PA2014-1002;https://pergamum.anac.gov.br/arquivos/PA2014-1002.pdf
SBSL;MA0001;Marechal Cunha Machado Internacional;SÃO LUÍS;Maranhão;São Luís;Maranhão;-2.5869444;-44.236111;"02°35'13.0S""";"044°14'10.0W""";54;VFR / IFR - CAT I;VFR / IFR - CAT I;jun/24;23,850,000;45,00;52/F/B/X/T;Asfalto;set/27;14,640,000;45,00;39/F/B/X/T;Asfalto;Cadastrado;21/08/2025;PA2015-2239;https://pergamum.anac.gov.br/arquivos/PA2015-2239.pdf
SBZM;MG0006;Presidente Itamar Franco;GOIANÁ;Minas Gerais;Goianá;Minas Gerais;-21.513056;-43.173056;"21°30'47.0S""";"043°10'23.0W""";412;VFR / IFR Não Precisão;IFR Não Precisão;ago/26;25,250,000;45,00;66/F/B/X/T;Asfalto;;;;;;Cadastrado;21/09/2021;PA2017-2564;https://pergamum.anac.gov.br/arquivos/PA2017-2564.pdf
SBAT;MT0003;Aeroporto Piloto Osvaldo Marques Dias;ALTA FLORESTA;Mato Grosso;Alta Floresta;Mato Grosso;-9.8663889;-56.105;"09°51'59.0S""";"056°06'18.0W""";289;VFR / IFR Não Precisão;VFR / IFR Não Precisão;abr/22;25,000,000;30,00;29/F/C/X/U;Asfalto;;;;;;Cadastrado;31/01/2021;PA2011-0162;https://pergamum.anac.gov.br/arquivos/PA2011-0162.pdf
SBTD;PR0008;Luiz Dalcanale Filho;TOLEDO;Paraná;Toledo;Paraná;-24.685278;-53.696389;"24°41'07.0S""";"053°41'47.0W""";562;VFR / IFR Não Precisão;VFR / IFR Não Precisão;fev/20;16,700,000;30,00;33/F/C/X/U;Asfalto;;;;;;Cadastrado;05/12/2028;PA2018-3681;https://pergamum.anac.gov.br/arquivos/PA2018-3681.pdf
SWPM;RO0009;Pimenta Bueno;PIMENTA BUENO;Rondônia;Pimenta Bueno;Rondônia;-11.641667;-61.181111;"11°38'30.0S""";"061°10'52.0W""";208;VFR;VFR;abr/22;13,000,000;20,00;12/F/C/Y/U;Asfalto;;;;;;Cadastrado;25/09/2024;PA2014-2262;https://pergamum.anac.gov.br/arquivos/PA2014-2262.pdf
SNAX;SP0016;Marcelo Pires Halzhausen;ASSIS;São Paulo;Assis;São Paulo;-22.64;-50.453056;"22°38'24.0S""";"050°27'11.0W""";564;VFR;VFR;dez/30;16,890,000;30,00;25/F/C/Y/U;Asfalto;;;;;;Cadastrado;02/03/2026;PA2016-0460;https://pergamum.anac.gov.br/arquivos/PA2016-0460.pdf
SBBU;SP0017;Bauru;BAURU;São Paulo;Bauru;São Paulo;-22.343611;-49.053889;"22°20'37.0S""";"049°03'14.0W""";617;VFR / IFR Não Precisão;VFR / IFR Não Precisão;14/32;15,010,000;35,00;13/F/A/X/T;Asfalto;;;;;;Cadastrado;13/12/2027;PA2017-3676;https://pergamum.anac.gov.br/arquivos/PA2017-3676.pdf
SDDR;SP0021;Dracena;DRACENA;São Paulo;Dracena;São Paulo;-21.460556;-51.606944;"21°27'38.0S""";"051°36'25.0W""";372;VFR;VFR;set/27;15,000,000;30,00;14/F/A/X/T;Asfalto;;;;;;Cadastrado;11/04/2024;PA2014-0904;https://pergamum.anac.gov.br/arquivos/PA2014-0904.pdf
SBJD;SP0031;Comandante Rolim Adolfo Amaro;JUNDIAÍ;São Paulo;Jundiaí;São Paulo;-23.181667;-46.943611;"23°10'54.0S""";"046°56'37.0W""";753;VFR / IFR Não Precisão;VFR / IFR Não Precisão;18/36;14,000,000;30,00;21/F/A/X/T;Asfalto;;;;;;Cadastrado;14/12/2028;PA2018-3807;https://pergamum.anac.gov.br/arquivos/PA2018-3807.pdf
SNFU;MG0063;Frutal;FRUTAL;Minas Gerais;Frutal;Minas Gerais;-20.004722;-48.958889;"20°00'17.0S""";"048°57'32.0W""";549;VFR;Sem Operação;jul/25;13,200,000;30,00;15/F/C/Y/T;Asfalto;;;;;;Cadastrado;12/03/2030;PA2020-0681;https://pergamum.anac.gov.br/arquivos/PA2020-0681.pdf
SBCZ;AC0002;Cruzeiro do Sul / Cruzeiro do Sul - Internacional;CRUZEIRO DO SUL;Acre;Cruzeiro do Sul;Acre;-7.5994444;-72.769444;"07°35'58.0S""";"072°46'10.0W""";194;VFR / IFR Não Precisão;VFR / IFR Não Precisão;out/28;24,000,000;45,00;32/F/A/X/T;Asfalto;;;;;;Cadastrado;19/03/2024;PA2014-0630;https://pergamum.anac.gov.br/arquivos/PA2014-0630.pdf
SBFI;PR0002;Cataratas;FOZ DO IGUAÇU;Paraná;Foz do Iguaçu;Paraná;-25.600278;-54.485;"25°36'01.0S""";"054°29'06.0W""";240;VFR / IFR - CAT I;VFR / IFR - CAT I;15/33;21,950,000;45,00;51/F/B/X/T;Asfalto;;;;;;Cadastrado;21/05/2024;PA2014-1182;https://pergamum.anac.gov.br/arquivos/PA2014-1182.pdf
SBTF;AM0004;Tefé;TEFÉ;Amazonas;Tefé;Amazonas;-3.3802778;-64.725278;"03°22'49.0S""";"064°43'31.0W""";57;VFR / IFR Não Precisão;VFR / IFR Não Precisão;15/33;22,000,000;45,00;29/F/C/X/U;Asfalto;;;;;;Cadastrado;13/11/2027;PA2017-3681;https://pergamum.anac.gov.br/arquivos/PA2017-3681.pdf
SWPI;AM0006;Parintins;PARINTINS;Amazonas;Parintins;Amazonas;-2.6694444;-56.771111;"02°40'10.0S""";"056°46'16.0W""";26;VFR;VFR;jun/24;18,000,000;30,00;33/F/B/X/T;Asfalto;;;;;;Cadastrado;30/07/2025;PA2015-2014;https://pergamum.anac.gov.br/arquivos/PA2015-2014.pdf
SBJU;CE0002;Orlando Bezerra Menezes;JUAZEIRO DO NORTE;Ceará;Juazeiro do Norte;Ceará;-7.2191667;-39.269444;"07°13'09.0S""";"039°16'10.0W""";409;VFR / IFR Não Precisão;VFR / IFR Não Precisão;13/31;19,400,000;45,00;45/F/A/X/T;Asfalto;;;;;;Cadastrado;07/03/2029;PA2019-0624;https://pergamum.anac.gov.br/arquivos/PA2019-0624.pdf
SBMK;MG0004;Aeródromo Público Mário Ribeiro;MONTES CLAROS;Minas Gerais;Montes Claros;Minas Gerais;-16.706111;-43.821944;"16°42'22.0S""";"043°49'19.0W""";668;VFR / IFR Não Precisão;VFR / IFR Não Precisão;dez/30;21,000,000;45,00;34/F/B/X/T;Asfalto;;;;;;Cadastrado;29/07/2024;PA2014-1719;https://pergamum.anac.gov.br/arquivos/PA2014-1719.pdf
SBAX;MG0008;Romeu Zema;ARAXÁ;Minas Gerais;Araxá;Minas Gerais;-19.560556;-46.965556;"19°33'38.0S""";"046°57'56.0W""";999;VFR / IFR Não Precisão;VFR / IFR Não Precisão;16/34;19,000,000;30,00;26/F/B/X/T;Asfalto;;;;;;Cadastrado;06/07/2027;PA2017-3046;https://pergamum.anac.gov.br/arquivos/PA2017-3046.pdf
SNOS;MG0024;José Figueiredo;PASSOS;Minas Gerais;Passos;Minas Gerais;-20.733333;-46.659722;"20°44'00.0S""";"046°39'35.0W""";822;VFR;VFR;14/32;15,000,000;30,00;19/F/A/Y/T;Asfalto;;;;;;Cadastrado;15/10/2023;PA2013-2698;https://pergamum.anac.gov.br/arquivos/PA2013-2698.pdf
SBCG;MS0001;Campo Grande Internacional;CAMPO GRANDE;Mato Grosso do Sul;Campo Grande;Mato Grosso do Sul;-20.469444;-54.670278;"20°28'10.0S""";"054°40'13.0W""";559;VFR / IFR - CAT I;VFR / IFR - CAT I;jun/24;26,000,000;45,00;48/F/B/X/T;Asfalto;;;;;;Cadastrado;22/07/2026;PA2016-1884;https://pergamum.anac.gov.br/arquivos/PA2016-1884.pdf
SBRD;MT0004;Rondonópolis;RONDONÓPOLIS;Mato Grosso;Rondonópolis;Mato Grosso;-16.588056;-54.721667;"16°35'17.0S""";"054°43'18.0W""";447;VFR / IFR Não Precisão;VFR / IFR Não Precisão;fev/20;18,500,000;30,00;28/F/B/X/T;Asfalto;;;;;;Cadastrado;10/10/2028;PA2018-3190;https://pergamum.anac.gov.br/arquivos/PA2018-3190.pdf
SNHS;PE0005;Santa Magalhães;SERRA TALHADA;Pernambuco;Serra Talhada;Pernambuco;-8.0613889;-38.328611;"08°03'41.0S""";"038°19'43.0W""";470;VFR;VFR;13/31;15,930,000;30,00;31/F/B/Y/T;Asfalto;;;;;;Cadastrado;06/07/2028;PA2018-2109;https://pergamum.anac.gov.br/arquivos/PA2018-2109.pdf
SNGN;PE0006;Garanhuns;GARANHUNS;Pernambuco;Garanhuns;Pernambuco;-8.8344444;-36.471389;"08°50'04.0S""";"036°28'17.0W""";772;VFR;VFR;16/34;12,540,000;28,00;6/F/C/Y/T;Asfalto;;;;;;Cadastrado;07/05/2028;PA2018-1372;https://pergamum.anac.gov.br/arquivos/PA2018-1372.pdf
SNAE;PE0007;Arcoverde;ARCOVERDE;Pernambuco;Arcoverde;Pernambuco;-8.4077778;-37.088333;"08°24'28.0S""";"037°05'18.0W""";634;VFR;VFR;15/33;13,000,000;28,00;6/F/B/Y/U;Asfalto;;;;;;Interditado;05/12/2028;PA2018-3679;https://pergamum.anac.gov.br/arquivos/PA2018-3679.pdf
SBME;RJ0004;Macaé;MACAÉ;Rio de Janeiro;Macaé;Rio de Janeiro;-22.342778;-41.763889;"22°20'34.0S""";"041°45'50.0W""";2;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jun/24;12,000,000;30,00;19/F/C/W/T;Asfalto;;;;;;Cadastrado;26/12/2019;PA2019-3922;https://pergamum.anac.gov.br/arquivos/PA2019-3922.pdf
SDPN;SP0024;Aeroporto Estadual Dr. Ramalho Franco;PENÁPOLIS;São Paulo;Penápolis;São Paulo;-21.410278;-50.031944;"21°24'37.0S""";"050°01'55.0W""";418;VFR;VFR;15/33;15,000,000;30,00;27/F/A/X/T;Asfalto;;;;;;Cadastrado;29/01/2024;PA2014-0233;https://pergamum.anac.gov.br/arquivos/PA2014-0233.pdf
SDJV;SP0035;Municipal de São João da Boa Vista;SÃO JOÃO DA BOA VISTA;São Paulo;São João da Boa Vista;São Paulo;-22.016667;-46.840556;"22°01'00.0S""";"046°50'26.0W""";762;VFR;VFR;abr/22;12,500,000;30,00;20/F/B/Y/T;Asfalto;;;;;;Cadastrado;15/10/2023;PA2016-1715;https://pergamum.anac.gov.br/arquivos/PA2016-1715.pdf
SDNO;SP0061;Nelson Garófalo;SÃO MANUEL;São Paulo;São Manuel;São Paulo;-22.696111;-48.576111;"22°41'46.0S""";"048°34'34.0W""";730;VFR;VFR;14/32;10,000,000;20,00;13/F/C/Y/U;Asfalto;;;;;;Cadastrado;07/05/2028;PA2018-1381;https://pergamum.anac.gov.br/arquivos/PA2018-1381.pdf
SWLC;GO0009;General Leite de Castro;RIO VERDE;Goiás;Rio Verde;Goiás;-17.834722;-50.956111;"17°50'05.0S""";"050°57'22.0W""";751;VFR;VFR;mar/21;15,000,000;30,00;19/F/C/Y/U;Asfalto;;;;;;Cadastrado;17/05/2025;PA2015-1270;https://pergamum.anac.gov.br/arquivos/PA2015-1270.pdf
SBKP;SP0003;Viracopos;CAMPINAS;São Paulo;Campinas;São Paulo;-23.006944;-47.134444;"23°00'25.0S""";"047°08'04.0W""";661;;;15/33;32,400,000;45,00;56/F/B/X/T;Asfalto;;;;;;Cadastrado;05/12/2028;PA2018-3677;https://pergamum.anac.gov.br/arquivos/PA2018-3677.pdf
SJRG;RS0013;Regional de Rio Grande;RIO GRANDE;Rio Grande do Sul;Rio Grande;Rio Grande do Sul;-32.083333;-52.1675;"32°05'00.0S""";"052°10'03.0W""";8;VFR;VFR;jun/24;19,000,000;30,00;11/F/B/Y/T;Asfalto;;;;;;Cadastrado;21/07/2030;PA2020-1743;https://pergamum.anac.gov.br/arquivos/PA2020-1743.pdf
SNXB;MG0025;Caxambu;CAXAMBU;Minas Gerais;Caxambu;Minas Gerais;-21.9175;-44.969444;"21°55'03.0S""";"044°58'10.0W""";865;VFR;VFR;set/27;15,000,000;30,00;8/F/C/X/U;Asfalto;;;;;;Cadastrado;23/04/2030;PA2020-1077;https://pergamum.anac.gov.br/arquivos/PA2020-1077.pdf
SBFL;SC0001;Hercílio Luz;FLORIANÓPOLIS;Santa Catarina;Florianópolis;Santa Catarina;-27.670278;-48.5525;"27°40'13.0S""";"048°33'09.0W""";5;VFR / IFR - CAT I;VFR / IFR - CAT I;mar/21;13,200,000;45,00;26/R/B/X/T;Concreto;14/32;24,000,000;45,00;78/F/A/X/T;Asfalto;Cadastrado;27/10/2027;PA2017-3540;https://pergamum.anac.gov.br/arquivos/PA2017-3540.pdf
SBPG;PR0012;Comandante Antônio Amilton Beraldo;PONTA GROSSA;Paraná;Ponta Grossa;Paraná;-25.184444;-50.143889;"25°11'04.0S""";"050°08'38.0W""";789;VFR / IFR Não Precisão;VFR / IFR Não Precisão;ago/26;14,300,000;30,00;33/F/C/X/U;Asfalto;;;;;;Cadastrado;18/11/2024;PA2018-2953;https://pergamum.anac.gov.br/arquivos/PA2018-2953.pdf
SBUF;BA0007;Paulo Afonso;PAULO AFONSO;Bahia;Paulo Afonso;Bahia;-9.4011111;-38.251111;"09°24'04.0S""";"038°15'04.0W""";269;VFR;VFR;14/32;18,000,000;45,00;35/F/C/X/U;Asfalto;;;;;;Cadastrado;29/10/2025;PA2015-2868;https://pergamum.anac.gov.br/arquivos/PA2015-2868.pdf
SDIY;BA0013;João Durval Carneiro;FEIRA DE SANTANA;Bahia;Feira de Santana;Bahia;-12.200556;-38.906389;"12°12'02.0S""";"038°54'23.0W""";238;VFR;VFR;13/31;15,000,000;30,00;30/F/A/X/T;Asfalto;;;;;;Cadastrado;11/11/2014;PA2019-0627;https://pergamum.anac.gov.br/arquivos/PA2019-0627.pdf
SNMX;ES0003;Aeródromo Público de São Mateus;SÃO MATEUS;Espírito Santo;São Mateus;Espírito Santo;-18.721389;-39.833611;"18°43'17.0S""";"039°50'01.0W""";30;VFR;VFR;ago/26;13,500,000;30,00;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;30/07/2025;PA2015-2013;https://pergamum.anac.gov.br/arquivos/PA2015-2013.pdf
SNCX;ES0004;Colatina;COLATINA;Espírito Santo;Colatina;Espírito Santo;-19.484444;-40.584444;"19°29'04.0S""";"040°35'04.0W""";153;VFR;VFR;15/33;13,000,000;30,00;8/F/B/Y/T;Asfalto;;;;;;Cadastrado;22/05/2025;PA2019-1474;https://pergamum.anac.gov.br/arquivos/PA2019-1474.pdf
SBBW;MT0008;Barra do Garças;BARRA DO GARÇAS;Mato Grosso;Barra do Garças;Mato Grosso;-15.860833;-52.389444;"15°51'39.0S""";"052°23'22.0W""";350;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;15,980,000;30,00;20/F/C/Y/T;Asfalto;;;;;;Cadastrado;09/11/2026;PA2016-3033;https://pergamum.anac.gov.br/arquivos/PA2016-3033.pdf
SBSG;RN0001;Aeroporto Internacional do Rio Grande do Norte - Governador Aluizio Alves;SÃO GONÇALO DO AMARANTE;Rio Grande do Norte;Natal;Rio Grande do Norte;-5.7688889;-35.366389;"05°46'08.0S""";"035°21'59.0W""";83.2;VFR / IFR - CAT I;VFR / IFR - CAT I;dez/30;30,000,000;60,00;70/F/A/X/T;Asfalto;;;;;;Cadastrado;30/05/2024;PA2014-1256;https://pergamum.anac.gov.br/arquivos/PA2014-1256.pdf
SBNF;SC0002;Navegantes / Ministro Victor Konder - Internacional;NAVEGANTES;Santa Catarina;Navegantes;Santa Catarina;-26.878611;-48.650833;"26°52'43.0S""";"048°39'03.0W""";5;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;17,010,000;45,00;33/F/A/X/T;Asfalto;;;;;;Cadastrado;20/12/2013;PA2013-3372;https://pergamum.anac.gov.br/arquivos/PA2013-3372.pdf
SBJV;SC0004;Lauro Carneiro de Loyola;JOINVILLE;Santa Catarina;Joinville;Santa Catarina;-26.223056;-48.797778;"26°13'23.0S""";"048°47'52.0W""";5;VFR / IFR - CAT I;VFR / IFR - CAT I;15/33;15,400,000;45,00;51/F/A/W/T;Asfalto;;;;;;Cadastrado;13/04/2030;PA2020-1029;https://pergamum.anac.gov.br/arquivos/PA2020-1029.pdf
SBSP;SP0001;Congonhas;SÃO PAULO;São Paulo;São Paulo;São Paulo;-23.626111;-46.656389;"23°37'34.0S""";"046°39'23.0W""";802;VFR / IFR - CAT I;VFR / IFR - CAT I;17L/35R;14,950,000;45,00;38/F/B/X/U;Asfalto;17R/35;19,400,000;45,00;50/F/B/X/T;Asfalto;Cadastrado;12/12/2024;PA2014-2980;https://pergamum.anac.gov.br/arquivos/PA2014-2980.pdf
SBMT;SP0007;Campo de Marte;SÃO PAULO;São Paulo;São Paulo;São Paulo;-23.506667;-46.633889;"23°30'24.0S""";"046°38'02.0W""";722;VFR;VFR;dez/30;16,000,000;45,00;16/F/C/Y/U;Asfalto;;;;;;Cadastrado;11/08/2025;PA2015-2143;https://pergamum.anac.gov.br/arquivos/PA2015-2143.pdf
SBAQ;SP0012;Bartolomeu de Gusmão;ARARAQUARA;São Paulo;Araraquara;São Paulo;-21.804444;-48.140278;"21°48'16.0S""";"048°08'25.0W""";711;VFR / IFR Não Precisão;VFR / IFR Não Precisão;17/35;18,000,000;30,00;40/F/A/X/T;Asfalto;;;;;;Cadastrado;25/08/2027;PA2017-2889;https://pergamum.anac.gov.br/arquivos/PA2017-2889.pdf
SWXQ;SP0015;Lins;LINS;São Paulo;Lins;São Paulo;-21.662778;-49.731111;"21°39'46.0S""";"049°43'52.0W""";480;VFR;VFR;14/32;17,000,000;35,00;30/F/B/X/T;Asfalto;;;;;;Cadastrado;16/10/2024;PA2014-2413;https://pergamum.anac.gov.br/arquivos/PA2014-2413.pdf
