CÓDIGO OACI;CIAD;NOME;MUNICÍPIO;UF;MUNICÍPIO SERVIDO;UF SERVIDO;LatGeoPoint;LonGeoPoint;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO DIURNA;OPERAÇÃO NOTURNA;DESIGNAÇÃO 1;COMPRIMENTO 1;LARGURA 1;RESISTÊNCIA 1;SUPERFÍCIE 1;DESIGNAÇÃO 2;COMPRIMENTO2;LARGURA 2;RESISTÊNCIA 2;SUPERFÍCIE 2;SITUAÇÃO;ValidadedoRegistro;PortariadeRegistro;Link Portaria
SDMJ;SP0022;Mogi Mirim;MOGI MIRIM;São Paulo;Moji Mirim;São Paulo;-22.41;-46.904722;"22°24'36.0S""";"046°54'17.0W""";693;VFR;Sem Operação;dez/30;15,000,000;30,00;5600 Kg /   0.50 MPa;Terra;;;;;;Cadastrado;;PD1995-0484;https://pergamum.anac.gov.br/arquivos/PD1995-0484.pdf
SJAU;TO0007;Araguacema;ARAGUACEMA;Tocantins;Araguacema;Tocantins;-8.8377778;-49.557778;"08°50'16.0S""";"049°33'28.0W""";207;;;dez/30;14,000,000;30,00;6/F/A/Y/T;Asfalto;;;;;;Interditado;;;
SWME;GO0033;Mineiros;MINEIROS;Goiás;Mineiros;Goiás;-17.551944;-52.556111;"17°33'07.0S""";"052°33'22.0W""";825;VFR;Sem Operação;18/36;10,000,000;18,00;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;;;
SWOB;AM0014;Fonte Boa;FONTE BOA;Amazonas;Fonte Boa;Amazonas;-2.5336111;-66.067222;"02°32'01.0S""";"066°04'02.0W""";63;VFR;Sem Operação;18/36;12,700,000;27,00;6/F/C/Y/U;Asfalto;;;;;;Interditado;;;
SNKF;MG0071;Das Bandeirinhas;CONSELHEIRO LAFAIETE;Minas Gerais;Conselheiro Lafaiete;Minas Gerais;-20.738611;-43.798056;"20°44'19.0S""";"043°47'53.0W""";1057;VFR;Sem Operação;abr/22;9,020,000;24,00;9/F/C/Y/U;Asfalto;;;;;;Cadastrado;16/10/2028;PA2018-3126;https://pergamum.anac.gov.br/arquivos/PA2018-3126.pdf
SNUC;RN0003;Açu;AÇU;Rio Grande do Norte;Açu;Rio Grande do Norte;-5.595;-36.960833;"05°35'42.0S""";"036°57'39.0W""";111;VFR;Sem Operação;nov/29;15,000,000;14,00;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;23/02/2026;PA2016-0351;https://pergamum.anac.gov.br/arquivos/PA2016-0351.pdf
SNSI;MG0076;Santa Maria do Suaçuí;JOSÉ RAYDAN;Minas Gerais;Santa Maria do Suaçuí;Minas Gerais;-18.198611;-42.466111;"18°11'55.0S""";"042°27'58.0W""";480;VFR;Sem Operação;mar/21;8,000,000;35,00;2500 Kg /   0.50 MPa;Terra;;;;;;Interditado;;;
SDPD;SP0072;Pindamonhangaba;PINDAMONHANGABA;São Paulo;Pindamonhangaba;São Paulo;-22.943889;-45.431944;"22°56'38.0S""";"045°25'55.0W""";574;VFR;Sem Operação;jun/24;7,500,000;30,00;5600 Kg /   0.50 MPa;Terra;;;;;;Cadastrado;18/09/2030;PA2020-2410;https://pergamum.anac.gov.br/arquivos/PA2020-2410.pdf
SDEP;SP0052;Geraldo Moacir Bordon;PRESIDENTE EPITÁCIO;São Paulo;Presidente Epitácio;São Paulo;-21.775556;-52.163056;"21°46'32.0S""";"052°09'47.0W""";297;VFR;Sem Operação;mai/23;10,100,000;18,00;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;;PD1994-0545;https://pergamum.anac.gov.br/arquivos/PD1994-0545.pdf
SDTP;SP0025;José Vicente Faria Lima;TUPÃ;São Paulo;Tupã;São Paulo;-21.89;-50.505833;"21°53'24.0S""";"050°30'21.0W""";550;VFR;VFR;jun/24;15,000,000;35,00;33/F/B/X/T;Asfalto;;;;;;Cadastrado;02/02/2028;PA2018-0305;https://pergamum.anac.gov.br/arquivos/PA2018-0305.pdf
